"","ring1","ring2","ring3","ring4","ring5","ring6","ring7","ring8","ring9","ring10","ring11","ring12","ring13","ring14","ring15"
"ENSMUSG00000041935",1.28333333333333,1.29166666666667,1.22222222222222,1.28571428571429,1.24528301886792,1.32142857142857,1.27906976744186,1.25,1.29545454545455,1.225,1.0625,1.25352112676056,1,0,1.32
"ENSMUSG00000022186",2.48181818181818,2.84976525821596,2.39267015706806,2.19512195121951,2.1328125,2.125,2.84939759036145,1.81818181818182,2.524,2.18181818181818,2.47169811320755,3.05188679245283,2.85714285714286,1.33333333333333,2.48484848484848
"ENSMUSG00000049148",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000041849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041841",36.1818181818182,34.5714285714286,37.6695278969957,21.8076923076923,38.2114285714286,28.6891891891892,31.234693877551,20.3484848484848,35.5479452054795,31.4822695035461,32.5438596491228,39.30078125,24.375,16.5789473684211,32.2876712328767
"ENSMUSG00000050697",1.1025641025641,1.14285714285714,1.125,1,1.03030303030303,1.11111111111111,1.04347826086957,1,1.11111111111111,1.11111111111111,1,1.02564102564103,0,0,1.125
"ENSMUSG00000022151",1.38888888888889,1.43564356435644,1.28888888888889,1.29411764705882,1.35820895522388,1.46428571428571,1.2,1.17647058823529,1.42592592592593,1.56363636363636,1.39130434782609,1.32142857142857,1.2,0,1.29166666666667
"ENSMUSG00000039942",1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
"ENSMUSG00000022150",1.23684210526316,1.17647058823529,1.36842105263158,1.28571428571429,1.36,1.18181818181818,1.14285714285714,1.5,1.17647058823529,1.17647058823529,1.45454545454545,1.21052631578947,1,0,1.6
"ENSMUSG00000022148",1,1,1,0,1,0,1,0,1,1.33333333333333,1,1,0,0,0
"ENSMUSG00000050310",1.16666666666667,1.16666666666667,1.2,1.5,1,1.14285714285714,1.04347826086957,0,1.2,1.19047619047619,1,1.13513513513514,1,0,1.1
"ENSMUSG00000022146",1.15384615384615,1.07692307692308,1.17391304347826,1.25,1.23913043478261,1.10810810810811,1,1.14285714285714,1.07692307692308,1.13333333333333,1.5,1.06666666666667,0,0,1.25
"ENSMUSG00000054263",1.04878048780488,1.12962962962963,1.21428571428571,1.2,1.37142857142857,1.22727272727273,1.13888888888889,1.25,1.125,1.28,1,1.06,0,0,1.22222222222222
"ENSMUSG00000042961",1,1,1,0,1,0,1,0,1.07142857142857,0,0,1,0,0,0
"ENSMUSG00000022144",1,0,1,0,1,1,0,1,1,0,0,0,0,0,0
"ENSMUSG00000039828",1.21428571428571,1.19444444444444,1.23809523809524,1.33333333333333,1.15384615384615,1.18181818181818,1.14634146341463,1.3,1.10909090909091,1.18518518518519,1.125,1.25531914893617,1,0,1.26315789473684
"ENSMUSG00000022142",1.11111111111111,1.05,1,1,1,1.125,1,0,1.16666666666667,1.1,1.66666666666667,1.1304347826087,0,0,1
"ENSMUSG00000039801",1.06666666666667,1.2,1.08823529411765,1,1.12,1.06666666666667,1.14285714285714,0,1.11290322580645,1.05555555555556,1.35714285714286,1.19148936170213,0,0,1.1
"ENSMUSG00000022141",1.05714285714286,1.0625,1.1,1,1.14285714285714,1,1,1,1.06666666666667,1.08333333333333,1.14285714285714,1.2,0,0,1
